id,url,general,specific
985799597262946304,https://twitter.com/intent/user?user_id=985799597262946304,1,1
67559297,https://twitter.com/intent/user?user_id=67559297,0,0
1027380136725831680,https://twitter.com/intent/user?user_id=1027380136725831680,0,0
807080078328766464,https://twitter.com/intent/user?user_id=807080078328766464,0,0
62999435,https://twitter.com/intent/user?user_id=62999435,0,0
210809103,https://twitter.com/intent/user?user_id=210809103,0,0
132036378,https://twitter.com/intent/user?user_id=132036378,0,0
209983901,https://twitter.com/intent/user?user_id=209983901,1,1
14497696,https://twitter.com/intent/user?user_id=14497696,0,0
304976428,https://twitter.com/intent/user?user_id=304976428,0,0
5244591,https://twitter.com/intent/user?user_id=5244591,0,0
18474672,https://twitter.com/intent/user?user_id=18474672,-1,-1
205589809,https://twitter.com/intent/user?user_id=205589809,0,0
423486129,https://twitter.com/intent/user?user_id=423486129,-1,-1
105097140,https://twitter.com/intent/user?user_id=105097140,1,1
153595074,https://twitter.com/intent/user?user_id=153595074,0,0
104727747,https://twitter.com/intent/user?user_id=104727747,0,0
17059141,https://twitter.com/intent/user?user_id=17059141,0,0
78504007,https://twitter.com/intent/user?user_id=78504007,0,0
95645002,https://twitter.com/intent/user?user_id=95645002,0,0
995498317,https://twitter.com/intent/user?user_id=995498317,1,1
125013326,https://twitter.com/intent/user?user_id=125013326,0,0
101801049,https://twitter.com/intent/user?user_id=101801049,0,0
62535129,https://twitter.com/intent/user?user_id=62535129,0,0
2479533019,https://twitter.com/intent/user?user_id=2479533019,0,0
66944605,https://twitter.com/intent/user?user_id=66944605,0,0
3408010217,https://twitter.com/intent/user?user_id=3408010217,0,0
145049847,https://twitter.com/intent/user?user_id=145049847,0,0
61608571,https://twitter.com/intent/user?user_id=61608571,0,0
12182652,https://twitter.com/intent/user?user_id=12182652,0,0
77935624,https://twitter.com/intent/user?user_id=77935624,0,0
57841747,https://twitter.com/intent/user?user_id=57841747,0,0
51080152,https://twitter.com/intent/user?user_id=51080152,0,0
10001912,https://twitter.com/intent/user?user_id=10001912,0,0
2415345978,https://twitter.com/intent/user?user_id=2415345978,0,0
318181761,https://twitter.com/intent/user?user_id=318181761,0,0
2435101459,https://twitter.com/intent/user?user_id=2435101459,0,0
91762492,https://twitter.com/intent/user?user_id=91762492,0,0
94832127,https://twitter.com/intent/user?user_id=94832127,0,0
166853601,https://twitter.com/intent/user?user_id=166853601,0,0
132563282,https://twitter.com/intent/user?user_id=132563282,0,0
1093371543155949568,https://twitter.com/intent/user?user_id=1093371543155949568,0,0
16186116,https://twitter.com/intent/user?user_id=16186116,0,0
